"","member_casual","date","avg_ride_length1","num_rides"
"1","casual",2019-01-01,6799.04724409449,127
"2","casual",2019-01-02,2178.10606060606,132
"3","casual",2019-01-03,2682.32510288066,243
"4","casual",2019-01-04,2589.09784411277,603
"5","casual",2019-01-05,2335.04414856342,1427
"6","casual",2019-01-06,1568.140625,448
"7","casual",2019-01-07,5492.51515151515,132
"8","casual",2019-01-08,1801.12145748988,247
"9","casual",2019-01-09,3116.93,100
"10","casual",2019-01-10,1458.61290322581,93
"11","casual",2019-01-11,1927.46524064171,187
"12","casual",2019-01-12,2236.01612903226,62
"13","casual",2019-01-13,2172.55294117647,85
"14","casual",2019-01-14,6395.19444444444,72
"15","casual",2019-01-15,1279.12345679012,81
"16","casual",2019-01-16,20885.8387096774,93
"17","casual",2019-01-17,1160.07843137255,102
"18","casual",2019-01-18,1290.24193548387,124
"19","casual",2019-01-19,7294.9,10
"20","casual",2019-01-20,2586.11111111111,18
"21","casual",2019-01-21,1029.04761904762,21
"22","casual",2019-01-22,2145.40740740741,27
"23","casual",2019-01-23,788.107142857143,28
"24","casual",2019-01-24,797.62962962963,27
"25","casual",2019-01-25,2946.59090909091,22
"26","casual",2019-01-26,4672.54285714286,35
"27","casual",2019-01-27,2762.31818181818,22
"28","casual",2019-01-28,1276.86666666667,15
"29","casual",2019-01-29,1992.26666666667,15
"30","casual",2019-01-30,505,2
"31","casual",2019-01-31,547.5,2
"32","casual",2019-02-01,1097.41935483871,31
"33","casual",2019-02-02,1785.39215686275,102
"34","casual",2019-02-03,3312.0942408377,191
"35","casual",2019-02-04,1838.65873015873,126
"36","casual",2019-02-05,1120.86206896552,87
"37","casual",2019-02-06,1825.66666666667,123
"38","casual",2019-02-07,70138.3661971831,71
"39","casual",2019-02-08,2155.5,50
"40","casual",2019-02-09,2709.08928571429,168
"41","casual",2019-02-10,8139.65517241379,87
"42","casual",2019-02-11,1175.78571428571,56
"43","casual",2019-02-12,1657.37931034483,29
"44","casual",2019-02-13,1158.28846153846,52
"45","casual",2019-02-14,62157.1477272727,176
"46","casual",2019-02-15,1366.71568627451,102
"47","casual",2019-02-16,5298.93604651163,172
"48","casual",2019-02-17,1359.75757575758,33
"49","casual",2019-02-18,2225.71875,64
"50","casual",2019-02-19,2101.3,90
"51","casual",2019-02-20,1711.84745762712,59
"52","casual",2019-02-21,6065.33944954128,109
"53","casual",2019-02-22,2722.44827586207,203
"54","casual",2019-02-23,1889,54
"55","casual",2019-02-24,2614.0546875,128
"56","casual",2019-02-25,5500.85915492958,71
"57","casual",2019-02-26,1378.68518518519,54
"58","casual",2019-02-27,1147.50819672131,61
"59","casual",2019-02-28,6354.29213483146,89
"60","casual",2019-03-01,3264.42207792208,154
"61","casual",2019-03-02,3934.41897233202,253
"62","casual",2019-03-03,4329.32038834951,103
"63","casual",2019-03-04,4544.44444444444,54
"64","casual",2019-03-05,1326.02222222222,45
"65","casual",2019-03-06,1593.5119047619,84
"66","casual",2019-03-07,1055.0824742268,97
"67","casual",2019-03-08,2990.58549222798,193
"68","casual",2019-03-09,2296.76111111111,180
"69","casual",2019-03-10,1936.7723880597,268
"70","casual",2019-03-11,2719.184375,320
"71","casual",2019-03-12,2579.61617900172,581
"72","casual",2019-03-13,2180.3595505618,445
"73","casual",2019-03-14,3272,424
"74","casual",2019-03-15,1761.49311294766,363
"75","casual",2019-03-16,6374.87001023541,977
"76","casual",2019-03-17,2340.59370424597,1366
"77","casual",2019-03-18,2114.69097222222,576
"78","casual",2019-03-19,2536.73082099596,743
"79","casual",2019-03-20,2011.48587570621,177
"80","casual",2019-03-21,2318.98255813953,344
"81","casual",2019-03-22,3656.61013645224,513
"82","casual",2019-03-23,3097.77390438247,2008
"83","casual",2019-03-24,2619.21607142857,560
"84","casual",2019-03-25,1704.6961038961,385
"85","casual",2019-03-26,2108.81395348837,602
"86","casual",2019-03-27,2893.81994704325,1133
"87","casual",2019-03-28,2693.30183727034,1143
"88","casual",2019-03-29,6690.10963855422,830
"89","casual",2019-03-30,4547.00183486239,545
"90","casual",2019-03-31,2302.45733041575,457
"91","casual",2020-01-01,4965.09433962264,477
"92","casual",2020-01-02,6164.75716440422,663
"93","casual",2020-01-03,1862.293598234,453
"94","casual",2020-01-04,10451.6153846154,390
"95","casual",2020-01-05,9001.87703016241,431
"96","casual",2020-01-06,10783.2354948805,293
"97","casual",2020-01-07,2761.80163043478,368
"98","casual",2020-01-08,2882.71264367816,174
"99","casual",2020-01-09,33943.2508143322,307
"100","casual",2020-01-10,16645.5454545455,286
"101","casual",2020-01-11,4592.35211267606,71
"102","casual",2020-01-12,3742.54676258993,139
"103","casual",2020-01-13,2188.15023474178,213
"104","casual",2020-01-14,4886.45394736842,304
"105","casual",2020-01-15,24126.332103321,271
"106","casual",2020-01-16,2876.60888888889,225
"107","casual",2020-01-17,3880.91616766467,167
"108","casual",2020-01-18,8133.25675675676,74
"109","casual",2020-01-19,14237.2203389831,59
"110","casual",2020-01-20,43439.9365079365,126
"111","casual",2020-01-21,2194.136,125
"112","casual",2020-01-22,10207.4774193548,155
"113","casual",2020-01-23,53546.7927927928,111
"114","casual",2020-01-24,6470.24666666667,150
"115","casual",2020-01-25,12493.256684492,187
"116","casual",2020-01-26,22549.0618556701,291
"117","casual",2020-01-27,2821.72727272727,231
"118","casual",2020-01-28,5807.3082437276,279
"119","casual",2020-01-29,5775.1179245283,212
"120","casual",2020-01-30,1993.50187265918,267
"121","casual",2020-01-31,4016.36713286713,286
"122","casual",2020-02-01,19626.5743589744,390
"123","casual",2020-02-02,10504.7003891051,1285
"124","casual",2020-02-03,2020.55172413793,348
"125","casual",2020-02-04,3778.51184834123,211
"126","casual",2020-02-05,2762.77005347594,187
"127","casual",2020-02-06,29726.7446808511,94
"128","casual",2020-02-07,3298.47697368421,304
"129","casual",2020-02-08,3005.95784543326,427
"130","casual",2020-02-09,45580.3552631579,152
"131","casual",2020-02-10,16544.7546296296,216
"132","casual",2020-02-11,31071.2342342342,222
"133","casual",2020-02-12,3434.42196531792,173
"134","casual",2020-02-13,15807.4657534247,73
"135","casual",2020-02-14,6230.96428571429,140
"136","casual",2020-02-15,2894.85,200
"137","casual",2020-02-16,5045.4152892562,484
"138","casual",2020-02-17,2488.71428571429,196
"139","casual",2020-02-18,11471.3504531722,331
"140","casual",2020-02-19,3315.80894308943,246
"141","casual",2020-02-20,3013.24375,160
"142","casual",2020-02-21,6574.38781163435,361
"143","casual",2020-02-22,8592.84888304862,1522
"144","casual",2020-02-23,4463.02480510276,2822
"145","casual",2020-02-24,1748.76221498371,307
"146","casual",2020-02-25,2628.45882352941,170
"147","casual",2020-02-26,7154.72115384615,104
"148","casual",2020-02-27,2395.0099009901,202
"149","casual",2020-02-28,32594.6263345196,281
"150","casual",2020-02-29,3096.07507082153,706
"151","casual",2020-03-01,4328.09821102592,2739
